"","sub","rr","pu","rho","model"
"335","g35rvb9r3l07tgx","75","low",0.820073159579332,"perc"
"336","g35rvb9r3l07tgx","25","high",0.68609967992684,"perc"
"337","gg80fe1zyat447z","25","low",0.973708276177412,"perc"
"338","gg80fe1zyat447z","50","high",0.965884265609917,"perc"
"339","gg80fe1zyat447z","75","high",0.191358024691358,"perc"
"340","gg80fe1zyat447z","50","low",0.926611796982167,"perc"
"341","gg80fe1zyat447z","75","low",0.202789208962049,"perc"
"342","gg80fe1zyat447z","25","high",0.951303155006859,"perc"
"343","ggkxy092ul5l6n0","25","low",0.0679012345679013,"perc"
"344","ggkxy092ul5l6n0","50","high",0.141975308641975,"perc"
"345","ggkxy092ul5l6n0","75","high",0.342249657064472,"perc"
"346","ggkxy092ul5l6n0","50","low",0.0842099332025777,"perc"
"347","ggkxy092ul5l6n0","75","low",0.0573845450388661,"perc"
"348","ggkxy092ul5l6n0","25","high",0.157064471879287,"perc"
"349","ghbypuj01msjo4h","25","low",0.522557536960829,"perc"
"350","ghbypuj01msjo4h","50","high",0.590534979423868,"perc"
"351","ghbypuj01msjo4h","75","high",0.920667581161408,"perc"
"352","ghbypuj01msjo4h","50","low",0.895061658703342,"perc"
"353","ghbypuj01msjo4h","75","low",0.270004572473708,"perc"
"354","ghbypuj01msjo4h","25","high",0.970507544581618,"perc"
"355","gnd1v5zo5x7qjad","25","low",0.862901996646852,"perc"
"356","gnd1v5zo5x7qjad","50","high",0.983767718335619,"perc"
"357","gnd1v5zo5x7qjad","75","high",0.620713305898491,"perc"
"358","gnd1v5zo5x7qjad","50","low",0.980109739368999,"perc"
"359","gnd1v5zo5x7qjad","75","low",0.808641972727467,"perc"
"360","gnd1v5zo5x7qjad","25","high",0.833790580704161,"perc"
"361","gs1p8zvs22f3u03","25","low",0.940329218106996,"perc"
"362","gs1p8zvs22f3u03","50","high",0.981481481481481,"perc"
"363","gs1p8zvs22f3u03","75","high",0.932098765432099,"perc"
"364","gs1p8zvs22f3u03","50","low",0.922496578388243,"perc"
"365","gs1p8zvs22f3u03","75","low",0.986053955189758,"perc"
"366","gs1p8zvs22f3u03","25","high",0.946273433927755,"perc"
"367","gstz99vr89krpfz","25","low",0.98559670781893,"perc"
"368","gstz99vr89krpfz","50","high",0.95633287637276,"perc"
"369","gstz99vr89krpfz","75","high",0.752400548696845,"perc"
"370","gstz99vr89krpfz","50","low",0.941700960219872,"perc"
"371","gstz99vr89krpfz","75","low",0.416323731138546,"perc"
"372","gstz99vr89krpfz","25","high",0.919753086419797,"perc"
"373","h9du65sl07e0gv9","25","low",0.341792409693644,"perc"
"374","h9du65sl07e0gv9","50","high",0.279149519890261,"perc"
"375","h9du65sl07e0gv9","75","high",0.261316872427984,"perc"
"376","h9du65sl07e0gv9","50","low",0.155235482395976,"perc"
"377","h9du65sl07e0gv9","75","low",0.0555555555555556,"perc"
"378","h9du65sl07e0gv9","25","high",0.207818930041152,"perc"
"379","hd4d44n06f6cawh","25","low",0.748285322359396,"perc"
"380","hd4d44n06f6cawh","50","high",0.853909465020576,"perc"
"381","hd4d44n06f6cawh","75","high",0.868998628257887,"perc"
"382","hd4d44n06f6cawh","50","low",0.991388507849413,"perc"
"383","hd4d44n06f6cawh","75","low",0.949931412894376,"perc"
